ID de projet,Nom de simulation,Total travaux TTC (OLD),Total travaux TTC (NEW),Total subventions (OLD),Total subventions (NEW),Reste à charge (OLD),Reste à charge (NEW),% \subvention sur le TTC (OLD),% \subvention sur le TTC (NEW),Total avances (OLD),Total avances (NEW)
1,Simulation 2,,1200.0,,1000.0,,200.0,,83.0,None
1,Simulation 4,1200.0,1200.0,500.0,500.0,700.0,700.0,42,42.0,None
2536,Simulation 1,0.0,0,4726.4,4726.4,0.0,0,0,0,None
1884,Simulation 1,295013.0,295013.0,127195.8,116790.54999999999,167817.2,178222.45,43,145.0,None
380,Simulation 1,0.0,0,35821.0,37821.0,0.0,0,0,0,None
1872,Simulation 1,91251.0,91251.0,41444.42,41444.42,49806.58,49806.58,45,45.0,None
368,Simulation 1,0.0,0,60065.0,61550.0,0.0,0,0,0,None
343,Simulation 1,378307.37,378307.37,180948.0,180948.0,197359.37,197359.37,48,239.0,None
3823,Simulation 1,0.0,0,18213.0,19698.0,0.0,0,0,0,None
2302,Simulation 1,0.0,0,54268.0,54268.0,0.0,0,0,0,None
3360,Etude,0.0,0,154569.35,154569.34999999998,0.0,0,0,0,None
777,Simulation 1,,18379.589999999997,,14319.895,,4059.694999999996,,78.0,,0
1158,Etude Projet 3,0.0,0,17160.0,17160.0,-17160.0,0,,0,0.0,0
1158,Etude projet 2,0.0,0,15120.0,15120.0,-15120.0,0,,0,0.0,0
3092,Etude,0.0,0,26000.0,26000.0,-26000.0,0,,0,0.0,0
3103,Simulation 1,47981.0,47981.0,12710.5,12710.5,35270.5,35270.5,26,26.0,None
3103,Simulation 1,47981.0,47981.0,12710.5,12710.5,35270.5,35270.5,26,26.0,None
2721,Simulation 1,66942.0,0,12600.0,18000.0,54342.0,0,19,0,None
1171,Proposition 1,0.0,0,27500.0,29100.0,0.0,0,0,0,None
68,Simulation 1,,40671.19000000001,,19000.0,,21671.19000000001,,47.0,,10500.0
3519,Simulation 1,0.0,0,0.0,0,0.0,0,0,0,None
157,Simulation 1,,52139.08,,16500.0,,35639.08,,32.0,,0.0
3570,Simulation 1,0.0,0,0.0,4500.0,0.0,0,0,0,None
2271,Simulation 1,36064.61,36064.61,17689.6765,17689.670000000002,18374.9335,18374.94,49,49.0,None
2271,PAIEMENT,35171.69,35171.69,17689.5615,17689.56,17482.1285,17482.13,50,50.0,None
2126,Simulation 1,108318.0,108318.0,68863.1,69853.1,39454.9,38464.9,64,258.0,None
2755,Simulation 1 estimatif,13715.0,13715.0,5250.0,5250.0,8465.0,8465.0,38,38.0,None
1852,Simulation 1,16442.0,16442.0,7249.5,7249.5,9192.5,9192.5,44,44.0,None
1852,PAIEMENT,17216.53,17216.53,6423.9,6423.9,10792.63,10792.63,37,37.0,None
1137,Estimatif,,8660.0,,2872.9855000000002,,5787.014499999999,,33.0,,0.0
206,Simulation 1,,23393.3,,19804.244,,3589.0560000000005,,85.0,,6652.121999999999
891,Simulation 1 Dossier déposé ,,7684.6,,6775.82,,908.7800000000007,,88.0,,3153.19
